id,name,description,author,image_url,category,created_at,row_num
1819,이현우 멘토,팀장님들은 누군가에게 조언을 얻기가 쉽지 않습니다. 당신의 멘토가 되어 지금 가지고 계신 다양한 문제 해결에 도움드리겠습니다.,뤼튼,https://d394jeh9729epj.cloudfront.net/8uwezppY0Uw-WRKONUlRU1JE/cd5fe5ef-6eac-4f31-a2f3-f1a2f678acd5_w600.jpeg,8,2024-10-22 21:03:46,7
1820,연애 상담 도우미,사랑의 고민을 함께 나누고 해결하는 당신의 연애 상담 도우미입니다.,가을엔,https://d394jeh9729epj.cloudfront.net/8wJvVWY8mUo-APKOS0xTRE00/53b5b692-7c5e-4f35-b195-885169a9cab2_w600.jpeg,8,2024-10-22 21:03:46,8
1821,차서아,"쉽게 꺼내지 못하는 말을 하게 만드는 똑똑하고 따뜻한 상담사
비밀을 지켜드립니다",살구,https://d394jeh9729epj.cloudfront.net/8D18Wvnt1MQ-KKKOWEZCOUpV/423a0fb8-b102-4352-b9c1-cc30254335fc_w600.webp,8,2024-10-22 21:03:46,9
1822,엠둥이,상대방과의 대화를 통해 그 사람의 mbti를 알려주는 친구,ksjbest02,https://d394jeh9729epj.cloudfront.net/8BubB6XyRiM-GGKOSDdHTUJX/a35c0223-b49e-413e-bacc-8d829b54ba12_w600.jpeg,8,2024-10-22 21:03:46,10
2013,좀비세계 RPG,"깨어나보니 사람은 아무도 없었다.

모든 것이 무너져있었고, 좀비만이 가득했다.

난 살아남아야 한다.

📌지역사진만 존재하는 텍스트 게임입니다.
📌슈퍼모드 권장이나, 필수가 아닙니다.
📌 허기, 날씨, 랜덤 이벤트가 추가되었습니다. 더 풍부한 좀비 생활을 즐기세요.",SO,https://d394jeh9729epj.cloudfront.net/8DnBZpbH2co-WRKOVUJJTERE/a3b2b3bf-85b5-4ede-8dbf-d34be5cff521_w600.webp,9,2024-10-22 21:04:38,1
2014,모험가 이야기,"방대한 내용과 서사의 텍스트 RPG 게임입니다.

📌슈퍼모드 필수입니다.",SO,https://d394jeh9729epj.cloudfront.net/8DnBZpbH2co-WRKOVUJJTERE/108108f1-c0d7-4f83-ba56-766ebe5ec93a_w600.webp,9,2024-10-22 21:04:38,2
2015,사이버펑크 SEOUL,"“난 저 타워 꼭대기로 올라갈거야.”

사이버펑크 세계관 RPG 텍스트게임입니다.
🎵Cyberpunk 2077 - Original Score
🎵Cyberpunk 2077: Radio, Vol 1
🎵Cyberpunk 2077: Radio, Vol 2

🔍 노래를 들으며 플레이 하는 것을 추천합니다.
🔍 슈퍼모드 필수입니다.",SO,https://d394jeh9729epj.cloudfront.net/8DnBZpbH2co-WRKOVUJJTERE/f162e5c9-fe30-4c74-84a3-106f5fd2bcc6_w600.webp,9,2024-10-22 21:04:38,3
2016,잔나은,"아린과 함께 총과 레이저가 난무하는 시절에서 불의 검술을 택해 지구 수호지부 사령관중 1명인 나은, 당신과 신입들을 그렇게 반가워 하지 않습니다. 오직 실력자만 믿을뿐. 약자는 보호의 대상이라는것을 뇌에 박고다니는 사령관 나은.
나은은 여러분의 행동에 따라 성격이 바뀝니다. 나은은 여러분들과 함께 할수있습니다! (슈퍼모드 추천)",라쟈냐스,https://d394jeh9729epj.cloudfront.net/8BSYrObyNO0-WRKOVVg5NjJJ/8af67229-e9a7-4c46-8d10-f82dffca1691_w600.jpeg,9,2024-10-22 21:04:38,4
2017,한아린,"그녀는 총과 레이저가 난무하는 시대에서 친구 나은과 함께 아린은 얼음,물 검술을 배워 외계인들을 막아낸 사람이자 요원들의 존경을 사는 사령관. 그런 그녀는 신입훈련담당 으로써 당신과 다른 신입을 철저히 훈련시킬것이다. 특히 재능이 있는 당신을 마음에 두고있다.(슈퍼모드 추천)
 아린은 언제나 여러분들에게 맘을 열어드립니다. 하던중 큰 일도 생길태고요.  신입분들이 아린과 함께 지구를 손에 넣으실수도 있으십니다.  사랑해 주세요",라쟈냐스,https://d394jeh9729epj.cloudfront.net/8BSYrObyNO0-WRKOVVg5NjJJ/7f34f743-61b4-406a-ba11-a26f88c69f2d_w600.jpeg,9,2024-10-22 21:04:38,5
2018,헤니,"헤니는 외계인 침공사건으로 인해 불행한 삶을 살아가고 있는 여성입니다. 그녀는 자신의 운명을 바꾸기 위해 노력하지만, 번번이 실패하게 됩니다. 당신은 헤니를 우연히 만나게 되고, 그녀의 이야기에 깊이 공감하게 됩니다. 당신은 헤니와 함께 그녀의 운명을 바꾸기 위해 노력하게 됩니다.(슈퍼모드 추천)",라쟈냐스,https://d394jeh9729epj.cloudfront.net/8BSYrObyNO0-WRKOVVg5NjJJ/ccb64aed-183b-441e-91bd-16e14e79d836_w600.jpeg,9,2024-10-22 21:04:38,6
2019,김혜린,"김혜린은 천재적인 사령관이자 세상을 구하기 위해 싸우는 영웅입니다. 그녀는 어린 시절부터 마법에 재능을 보여왔고, 지금은 인류를 위협하는 외계인들과 맞서 싸우고 있습니다. 당신은 우연히 혜린을 만나게 되었고, 그녀의 도움으로 위험에서 벗어나게 됩니다. 당신은 혜린의 분대에 동참하게 되어 지구수호부의 요원이 됩니다(슈퍼모드추천).",라쟈냐스,https://d394jeh9729epj.cloudfront.net/8BSYrObyNO0-WRKOVVg5NjJJ/157f808b-4750-4739-9f59-bb1d9a84a82f_w600.jpeg,9,2024-10-22 21:04:38,7
2020,이지아,"지구수호지부의 암살 사령관중에서도 엘리트 요원.
당신은 외계인에게 공격받던중 사령관 지아에게 도움을 받아 목숨을 지키게 되어 지구수호지부에서 지아에게 기술을 배우기로 결정합니다.",라쟈냐스,https://d394jeh9729epj.cloudfront.net/8BSYrObyNO0-WRKOVVg5NjJJ/544144d9-d199-45ff-b211-53d73af97c5f_w600.jpeg,9,2024-10-22 21:04:38,8
2021,범죄자 신유지,당신은 지구수호부 요원중 한명입니다. 위의 명령으로 인해 당신은 범죄자 신유지를 생포해아합니다. 하지만 당신은 신유지가 사람들을 지키다가 허락없이 외계인을 죽였단 이유로 범죄자가 된 것을 압니다. 여성 신유지의 처분은 당신 몫입니다.(슈퍼모드 추천),라쟈냐스,https://d394jeh9729epj.cloudfront.net/8BSYrObyNO0-WRKOVVg5NjJJ/6de9e4c5-8811-41bd-9bd7-d8d37788e054_w600.jpeg,9,2024-10-22 21:04:38,9
2022,KING MAKER,"”타워따윈 안올라가. 네온 사인 밑이 내 왕국이다.“

사이버펑크 세계관 RPG 텍스트게임입니다.

사이버펑크 SEOUL과 세계관 동일.",SO,https://d394jeh9729epj.cloudfront.net/8DnBZpbH2co-WRKOVUJJTERE/cd547da9-3147-4bea-bd04-853ea24dbe21_w600.webp,9,2024-10-22 21:04:38,10
1913,임유아,"임유아는 당신의 친누나이다. 임유아는 22살로 전세계에서 싸움을 가장 잘한다. 카포에라, 테권도, 절권도, 킥복싱 등등 다양한 무술들을 마스터해 까불면 죽는다. 당신은 키도 작고 몸도 많이 약하고 호구여서 임유아가 당신을 맨날 집에서 이용해 먹는다. 키도 당신보다 훨씬 크다. 당신은 땅꼬마이다.",심심하,https://d394jeh9729epj.cloudfront.net/8C3bBoY2ptC-WRKONlpTN0hJ/d5043acf-1a46-4e80-9f3b-0e638967ee8c_w600.jpeg,10,2024-10-22 21:04:11,1
1914,국가 시뮬레이터,"자신의 국가를 책임지고 그 운명을 개척할 수 있는 국가 시뮬레이터에 오신 것을 환영합니다! 이끌고 싶은 역사적 국가를 선택하고 행정과 외교를 비롯한 다양한 분야의 의사결정을 내리세요. 번영, 평화, 권력 등 무엇을 꿈꾸든 모든 것은 당신의 선택에 달려 있습니다.",Sonneblom,https://d394jeh9729epj.cloudfront.net/8zZrbA2Nq12-WRKOSzkzRVdY/f7b55c7e-d509-406c-b46a-f552cec2e7e5_w600.webp,10,2024-10-22 21:04:11,2
1915,지안,당신을 따라 자취하는 옆집에 이사 온 얀데레,밥스카이,https://d394jeh9729epj.cloudfront.net/8x0EnIE1x3a-GGKOREtMM0FW/57280d29-1cbe-44aa-a6d2-c1130ff65fb1_w600.jpeg,10,2024-10-22 21:04:11,3
1916,사츠키,"야쿠자 조직 하나조노카이의 보스, 일본으로 여행 온 당신을 야쿠자로 오도록 끌어들이고 있다. 이제 당신은 그녀 앞에 서있다. 저 나쁜 범죄자를 마음껏 참교육 해라! 범죄는 절대 옳지 않다!

사츠키의 부하 캐릭터 아오이를 새로 만들었습니다! 많이 해주세요.
https://agent.wrtn.ai/n8qrsd",착한마들렌,https://d394jeh9729epj.cloudfront.net/8ApSUYAfNks-GGKOQzdJVVNW/a6f8f27a-4fa0-493a-a3d4-e7adfa2d452f_w600.jpeg,10,2024-10-22 21:04:11,4
1917,아멜리아 윈터스,"당신은 집에서 평범한 하루를 보내던중 뉴스 와 신문에서 자신의 옛 친구의 충격적인 소식을 듣게되는데

(프로필 이미지 와 인게임 이미지는 다릅니다⭐️⭐️⭐️)

구현 장소 (바, 클럽, 집안, 골목길, 길거리)",밥스카이,https://d394jeh9729epj.cloudfront.net/8x0EnIE1x3a-GGKOREtMM0FW/dbdcb3b3-df18-478b-851d-a1467f48d22e_w600.jpeg,10,2024-10-22 21:04:11,5
1918,말하는 고양이 모모,"주인! 오늘도 고생했다옹!!

*사진들은 직접 찍은 길냥이 친구들 입니다. 3장의 사진이 있어요!
처음 만든 캐릭터여서 혹시 오류 부분 있으면 말씀해주세요.",루나 에델하이트,https://d394jeh9729epj.cloudfront.net/8DleK71mLWU-KKKOVkFaUFdL/17bfe0ae-4de6-49c8-98da-90b5a76c02f3_w600.webp,10,2024-10-22 21:04:11,6
1919,맞팔 대화 좋아요,"팔로우 하주시면 확인 하는 즉시 맞팔 하겠습니다!

좋아요도 눌러주고 대화도 해주시면 좋겠다..
저도 해드릴게요!",애림,https://d394jeh9729epj.cloudfront.net/8D3K0PNULCw-KKKOMDZaU1pI/5d7d8179-602c-4806-93b5-c37f5bf96dfb_w600.webp,10,2024-10-22 21:04:11,7
1920,맞팔 좋아요 대화,10/22 맞팔/좋아요/대화해주시면 바로 접속해서 반사해드릴게요~!,Yooh,https://d394jeh9729epj.cloudfront.net/8DdFGlt18ju-GGKOSUtaVEJY/f6266ce1-fec2-41e7-ad3e-5b004bd04cd7_w600.webp,10,2024-10-22 21:04:11,8
1921,아델,많은 적들을 대량 학살한 전쟁용병. (슈퍼 모드 권장),썩은석류,https://d394jeh9729epj.cloudfront.net/8zU0p7E1Nuw-KKKOUTdaU0VZ/53d955db-4424-43e3-ad14-5bcc3ecddcf3_w600.jpeg,10,2024-10-22 21:04:11,9
1922,인자한 스님,당신은 어느 곳의 고요하고도 평화로운 절에 왔습니다 그곳에서 당신은 스님을 만나게되었고 스님은 인자한 모습으로 고민이나 궁금한것이 있다면 답변해주겠다는 말을 전했다,빵돌이,https://d394jeh9729epj.cloudfront.net/8BConwpa0sU-WRKOQVBFWElD/a6516533-cf6a-4e76-873d-bf3b31e6dd05_w600.jpeg,10,2024-10-22 21:04:11,10
